time_published,confidence,sentiment_score
2026-02-17,0.627802,0.105606
2026-02-17,1.0,0.412892
2026-02-17,0.728672,-0.240181
2026-02-17,0.976817,0.126578
2026-02-17,0.606182,0.207743
2026-02-17,0.714704,-0.130125
2026-02-17,0.611509,0.08567
2026-02-17,0.643101,0.146159
2026-02-17,1.0,0.335409
2026-02-17,0.616082,0.101797
2026-02-17,0.959227,-0.2638
2026-02-17,0.748907,0.133821
2026-02-17,0.6381,0.324004
2026-02-17,0.723465,-0.22708
2026-02-17,0.636821,-0.118241
2026-02-16,0.714824,0.126716
2026-02-16,1.0,0.326821
2026-02-16,0.561872,0.137534
2026-02-16,1.0,0.13225
2026-02-16,0.715088,-0.29494
2026-02-16,0.971665,0.302385
2026-02-16,0.559824,-0.116152
2026-02-16,0.938905,0.265856
2026-02-16,0.636382,0.311391
2026-02-16,0.996894,0.318118
2026-02-16,1.0,0.442348
2026-02-16,0.578626,-0.056477
2026-02-16,1.0,0.414671
2026-02-16,0.718485,0.221742
2026-02-16,0.594822,-0.108066
2026-02-16,1.0,0.494904
2026-02-16,0.627428,0.337184
2026-02-16,1.0,0.213214
2026-02-16,1.0,0.265205
2026-02-16,0.615547,0.159672
2026-02-16,0.587755,-0.055775
2026-02-16,0.74643,0.732932
2026-02-16,0.637165,0.235855
2026-02-16,0.708212,0.113209
2026-02-16,1.0,-0.273176
2026-02-16,1.0,0.005415
2026-02-16,1.0,-0.141667
2026-02-16,0.533295,-0.073067
2026-02-15,0.636069,0.146454
2026-02-15,1.0,0.279297
2026-02-15,0.718776,0.400694
2026-02-15,0.638475,0.144133
2026-02-15,1.0,0.271453
2026-02-15,1.0,0.268087
2026-02-15,1.0,0.089193
2026-02-15,0.925836,0.243622
2026-02-15,1.0,0.23596
2026-02-15,0.994487,0.063175
2026-02-15,1.0,0.243247
2026-02-15,0.989518,0.295388
2026-02-15,0.649153,0.130917
2026-02-15,0.620165,0.125542
2026-02-15,1.0,0.224963
2026-02-15,1.0,0.141944
2026-02-15,0.593476,0.084259
2026-02-15,0.625855,0.32841
2026-02-15,0.993452,0.405468
2026-02-15,0.963552,0.430559
2026-02-15,1.0,0.021338
2026-02-15,0.725714,0.317312
2026-02-14,0.63159,0.146218
2026-02-14,0.646367,0.309514
2026-02-14,0.731066,0.162186
2026-02-14,0.57005,0.290424
2026-02-14,0.588021,0.139665
2026-02-14,0.736725,0.119756
2026-02-14,0.608166,0.333336
2026-02-14,0.905659,0.710108
2026-02-14,0.992492,0.280539
2026-02-14,1.0,-0.207083
2026-02-14,0.627177,0.204423
2026-02-14,0.638798,0.102924
2026-02-14,0.985265,0.120467
2026-02-14,0.820168,0.217165
2026-02-14,0.9708,0.225797
2026-02-14,1.0,0.138463
2026-02-14,0.713116,-0.24867
2026-02-14,0.734587,0.036572
2026-02-14,1.0,-0.129823
2026-02-14,1.0,0.462777
2026-02-14,1.0,-0.116647
2026-02-14,1.0,0.012426
2026-02-14,1.0,0.337843
2026-02-14,1.0,0.201615
2026-02-14,1.0,0.23529
2026-02-14,0.952084,0.280595
2026-02-14,0.976576,0.077175
2026-02-14,0.725835,-0.4333
2026-02-14,1.0,0.208405
2026-02-14,0.729117,0.123111
2026-02-14,0.703351,0.341896
2026-02-14,0.71301,0.298969
2026-02-14,0.635993,0.334216
2026-02-13,0.675934,0.110374
2026-02-13,0.920742,0.437399
2026-02-13,1.0,0.402531
2026-02-13,0.615706,-0.114383
2026-02-13,1.0,0.324423
2026-02-13,0.6087,0.410548
2026-02-13,0.570963,-0.117226
2026-02-13,0.931646,-0.068974
2026-02-13,0.779507,0.219243
2026-02-13,0.709287,0.302298
2026-02-13,0.581519,0.117091
2026-02-13,0.634285,0.034257
2026-02-13,0.636558,-0.105219
2026-02-13,0.603112,-0.137507
2026-02-13,1.0,0.030683
2026-02-13,1.0,0.022469
2026-02-13,1.0,-0.196616
2026-02-13,1.0,0.384879
2026-02-13,0.63498,0.225431
2026-02-13,1.0,0.04834
2026-02-13,0.629637,0.34056
2026-02-13,0.605344,0.345266
2026-02-13,1.0,0.344733
2026-02-13,1.0,0.428735
2026-02-13,0.650618,-0.301828
2026-02-12,0.600208,0.348974
2026-02-12,1.0,-0.233726
2026-02-12,1.0,-0.622151
2026-02-12,0.717407,0.123041
2026-02-12,0.703674,0.109146
2026-02-12,0.609934,-0.239234
2026-02-12,0.705313,0.113878
2026-02-12,0.587078,-0.10307
2026-02-12,0.609092,-0.30433
2026-02-12,0.736928,0.13232
2026-02-12,0.584465,-0.20459
2026-02-12,0.723449,-0.443094
2026-02-12,0.644508,0.085343
2026-02-12,0.600547,-0.316171
2026-02-12,0.966909,-0.415519
2026-02-12,0.659492,0.228363
2026-02-12,0.603407,-0.100142
2026-02-12,1.0,-0.395493
2026-02-12,0.608752,0.309719
2026-02-12,0.621451,-0.112333
2026-02-12,0.938155,0.350447
2026-02-12,0.721577,0.348841
